Azizul Zahid,,,,,,,,,,,,,,,,,,,,,,,,
Wrap:,TRUE,,,,,,,,,,,,,,,,,,,,,,,
K(states):,5,,,,,,,,,,,,,,,,,,,,,,,
Radius:,1,,,,,,,,,,,,,,,,,,,,,,,
Quiescence:,TRUE,,,,,,,,,,,,,,,,,,,,,,,
random seed:,1707325706,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Experiment #:,0,,,,,,,,,,,,,,,,18,,,,,,,
Rule:,4.13E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,4,0.992,0.923076923,1.921242809,2.199687795,0.568746268,"It has both chaotic and pattern characteristics, but I am going with class 4",,,,,,,,,,,,,Standard Deviation,,,
1,2,4,0.944,0.846153846,2.053177307,2.257756064,0.633246411,"It has both chaotic and pattern characteristics, but I am going with class 4",,,,,,,,,,,,,Class 1,class 2,class 3,class 4
2,8,3,0.824,0.769230769,2.258797526,2.295465679,0.755411443,Chaotic,,,,,,,,,,,,Lambda,0.256201475,0.214979225,0.241132906,0.226337477
3,5,3,0.68,0.692307692,2.040510728,2.199687795,0.822132552,Chaotic,,,,,,,,,,,,Lambda_t,0.230321128,0.206911554,0.219816945,0.233724996
4,1,3,0.656,0.615384615,2.024968907,2.133937566,0.951317552,Chaotic,,,,,,,,,,,,H,0.677370635,0.325447397,0.391275834,0.283551923
5,10,3,0.608,0.538461538,1.97372398,1.987773371,1.090900655,Chaotic,,,,,,,,,,,,H_t,0.680666883,0.287993596,0.428049866,0.402700426
6,11,3,0.584,0.461538462,1.841346416,1.669180337,1.18683609,"Though it has some pattern, but mostly chaotic",,,,,,,,,,,,Zeta,0.964718054,0.367690198,0.494380554,0.525467878
7,12,3,0.576,0.384615385,1.827264194,1.488525295,1.361071001,"Though it has some pattern, but mostly chaotic",,,,,,,,,,,,,,,,
8,7,4,0.432,0.307692308,1.666707572,1.352030102,1.614873845,"Mixed of periodic and chaotic pattern, but periodic pattern is dominant",,,,,,,,,,,,,Average,,,
9,3,4,0.352,0.230769231,1.477295382,1.145110414,1.970676308,"Mixed of periodic and chaotic pattern, but periodic pattern is dominant",,,,,,,,,,,,,Class 1, Class 2,Class 3,Class 4
10,9,4,0.272,0.153846154,1.113597933,0.773228349,2.545638427,"Mixed of periodic and chaotic pattern, but periodic pattern is dominant",,,,,,,,,,,,Lambda,0.289676647,0.774857143,0.654541176,0.690222222
11,6,1,0.12,0.076923077,0.529360865,0.391243564,3.442762858,Fixed and homogenous,,,,,,,,,,,,Lambda_t,0.252878858,0.692307692,0.602262443,0.61965812
12,4,1,0,0,0,0,3.333333333,Fixed and homogenous,,,,,,,,,,,,H,0.946342698,1.726960187,1.750446149,1.830584379
,,,,,,,,,,,,,,,,,,,,H_t,0.935365518,1.922266096,1.811572016,1.877611645
,,,,,,,,,,,,,,,,,,,,Zeta,2.299309183,0.966978769,1.09371798,1.082639449
Experiment #:,1,,,,,,,,,,,,,,,,,,,,,,,
Rule:,4.34E+11,,,,,,,,,,,,,,,,,,,,,,,
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations,,,,,,,,,,,,,,,,
0,-,3,0.992,0.923076923,1.101344998,1.573402452,0.417975356,"chaotic, no pattern",,,,,,,,,,,,,,,,
1,8,3,0.872,0.846153846,1.480706357,1.738149333,0.542221609,"chaotic, no pattern",,,,,,,,,,,,,,,,
